City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,pamanukan,-6.2842,107.8106,27.2,83,75,1.51,ID,1706010215
170,nguigmi,14.2495,13.1092,27.82,17,20,3.7,NE,1706010215
171,chernyshevskiy,63.0128,112.4714,-10.73,83,92,6.4,RU,1706010216
172,nabire,-3.3667,135.4833,26.65,84,98,0.42,ID,1706010216
173,callao,-12.0667,-77.15,23.73,83,75,4.63,PE,1706010217
174,utrik,11.2278,169.8474,26.14,74,83,8.24,MH,1706010218
175,plaza huincul,-38.926,-69.2086,24.52,10,0,3.78,AR,1706010023
176,zhongxing,33.7039,118.6792,-3.67,34,33,3.75,CN,1706010219
177,kushiro,42.975,144.3747,-1.47,93,20,5.14,JP,1706010219
178,berdychiv,49.8993,28.6024,-0.9,85,100,5.66,UA,1706010220
179,egilsstadir,65.2653,-14.3948,-7.05,68,0,1.03,IS,1706010220
180,karoi,-16.8099,29.6925,27.4,46,59,2.7,ZW,1706010221
181,guerrero negro,27.9769,-114.0611,16.89,86,97,8.5,MX,1706010104
182,punta arenas,-53.15,-70.9167,14.06,62,0,6.17,CL,1706010222
183,kattivakkam,13.2167,80.3167,29.05,69,11,3.8,IN,1706010223
184,tura,25.5198,90.2201,14.59,61,22,0.59,IN,1706010223
185,hailey,43.5196,-114.3153,2.67,83,100,2.06,US,1706010224
186,puerto leguizamo,-0.1934,-74.7819,22.69,86,71,0.99,CO,1706010224
187,mananara,-16.1667,49.7667,28.77,76,79,2.77,MG,1706010225
188,el burgo de osma,41.5862,-3.0652,10.94,84,97,3.9,ES,1706010226
189,hithadhoo,-0.6,73.0833,28.64,77,33,5.06,MV,1706010227
190,zhob,31.3411,69.4481,13.43,15,0,3.34,PK,1706010227
191,haiku-pauwela,20.9219,-156.3051,21.69,80,0,3.6,US,1706010228
192,saldanha,-33.0117,17.9442,36.03,78,0,6.89,ZA,1706010229
193,isafjordur,66.0755,-23.124,-0.98,74,75,1.54,IS,1706010229
194,kitimat,54.0524,-128.6534,0.21,100,100,0.12,CA,1706010230
195,lompoc,34.6391,-120.4579,13.77,88,75,4.63,US,1706010231
196,santyoku,37.4406,129.1708,-10.03,60,0,4.94,KR,1706010232
197,enewetak,11.3474,162.3373,26.53,76,100,8.39,MH,1706010233
198,kuanda,56.3161,116.0806,-20.43,95,84,0.69,RU,1706010234
199,bengkulu,-3.8004,102.2655,26.52,81,79,2.64,ID,1706010235
200,qaqortoq,60.7167,-46.0333,-8.84,88,100,0.92,GL,1706010235
201,brookings,44.3114,-96.7984,-4.0,93,100,3.6,US,1706010086
202,ketchikan,55.3422,-131.6461,7.99,93,100,2.57,US,1706010237
203,khadyzhensk,44.4256,39.5319,0.15,70,20,1.87,RU,1706010237
204,consuegra,39.4625,-3.608,13.45,67,54,2.41,ES,1706010238
205,mweka,-4.85,21.5667,29.79,52,92,1.61,CD,1706010238
206,quellon,-43.1167,-73.6167,14.53,79,25,2.02,CL,1706010239
207,taltal,-25.4,-70.4833,19.78,79,53,3.11,CL,1706010239
208,ribeira brava,32.65,-17.0667,22.62,72,30,5.32,PT,1706010240
209,nadi,-17.8,177.4167,28.0,89,75,0.0,FJ,1706010233
210,fort st. john,56.2499,-120.8529,-14.06,85,75,2.06,CA,1706010241
211,hoi an,15.8794,108.335,19.98,82,100,3.57,VN,1706010170
212,belyy yar,53.6039,91.3903,-24.06,92,20,0.0,RU,1706010243
213,aripuana,-9.1667,-60.6333,26.68,80,75,1.05,BR,1706010116
214,korla,41.7597,86.1469,-4.81,77,96,0.53,CN,1706010244
215,alice springs,-23.7,133.8833,37.75,31,40,4.12,AU,1706010245
216,itupiranga,-5.1347,-49.3267,26.63,84,70,2.02,BR,1706010245
217,grand gaube,-20.0064,57.6608,30.22,82,95,2.68,MU,1706010246
218,thompson,55.7435,-97.8558,-21.91,71,75,2.06,CA,1706010246
219,dhidhdhoo,6.8833,73.1,28.04,76,17,3.91,MV,1706010248
220,alofi,-19.0595,-169.9187,25.94,89,75,2.57,NU,1706010248
221,ulladulla,-35.35,150.4667,19.32,97,50,1.33,AU,1706010249
222,weno,7.4515,151.8468,24.97,100,100,3.09,FM,1706010250
223,aydincik,36.1437,33.3202,15.24,49,100,2.45,TR,1706010250
224,choele choel,-39.2667,-65.6833,26.81,30,0,11.83,AR,1706010251
225,yamethin,20.4333,96.15,22.37,31,0,2.98,MM,1706010252
226,bom jesus da lapa,-13.255,-43.4181,22.65,94,98,2.13,BR,1706010252
227,mao,39.8885,4.2658,16.31,77,20,3.09,ES,1706010253
228,santiago del estero,-27.7951,-64.2615,22.57,48,0,1.5,AR,1706010254
229,grootfontein,-19.5667,18.1167,30.76,29,40,4.12,NA,1706010255
230,cherepanovo,54.2222,83.381,-18.1,93,73,3.96,RU,1706010255
231,letlhakeng,-24.0944,25.0298,33.9,24,54,2.28,BW,1706010256
232,amga,60.8953,131.9608,-34.73,99,53,1.46,RU,1706010256
233,nizhnesortymskiy,62.4397,71.7603,-16.3,90,92,5.05,RU,1706010257
234,queenstown,-31.8976,26.8753,26.04,44,24,5.53,ZA,1706010258
235,barmer,25.75,71.3833,24.87,15,0,4.74,IN,1706010258
236,hammerfest,70.6634,23.6821,-0.75,74,75,2.57,NO,1706010259
237,pariaman,-0.619,100.12,31.03,78,96,3.98,ID,1706010259
238,nizhneudinsk,54.9076,99.0276,-20.5,100,17,1.25,RU,1706010260
239,qamdo,31.1667,97.2333,-7.04,35,100,2.49,CN,1706010261
240,tralee,52.2704,-9.7026,14.14,94,75,14.4,IE,1706010261
241,afaahiti,-17.75,-149.2833,24.93,79,96,2.07,PF,1706010262
242,qacha's nek,-30.1154,28.6894,21.97,47,43,3.84,LS,1706010262
243,aljezur,37.3191,-8.8033,15.82,70,1,1.56,PT,1706010263
244,iskateley,67.6803,53.1512,-9.43,94,100,5.81,RU,1706010264
245,san antonio de pale,-1.4014,5.6325,27.75,79,5,4.92,GQ,1706010264
246,mo i rana,66.3128,14.1428,2.96,91,75,2.24,NO,1706010265
247,deqing,30.5448,119.9599,-3.48,43,0,2.27,CN,1706010265
248,saipan,15.1355,145.701,24.39,78,0,4.63,MP,1706010266
249,markova,48.6758,24.4138,2.38,78,100,0.18,UA,1706010267
250,salies-de-bearn,43.4742,-0.9245,18.58,71,98,1.39,FR,1706010268
251,santa ana,33.7456,-117.8678,14.6,94,75,0.0,US,1706009927
252,pisco,-13.7,-76.2167,22.03,88,72,4.12,PE,1706010252
253,saudarkrokur,65.7461,-19.6394,-4.2,80,76,3.47,IS,1706010270
254,caleta de carquin,-11.0925,-77.6267,21.68,90,39,4.19,PE,1706010271
255,ayorou,14.7308,0.9174,32.33,6,81,4.51,NE,1706010271
256,tres palos,18.1833,-101.6167,19.6,75,3,1.11,MX,1706010272
257,kruisfontein,-34.0033,24.7314,22.71,49,73,9.52,ZA,1706010272
258,mount pearl,47.5166,-52.7813,-1.49,91,100,8.75,CA,1706010273
259,college,64.8569,-147.8028,-37.03,69,0,0.0,US,1706010273
260,arteche,12.2645,125.4048,24.81,88,100,2.82,PH,1706010274
261,keflavik,64.0049,-22.5624,1.24,93,75,4.12,IS,1706010275
262,khandyga,62.6667,135.6,-41.44,100,95,1.44,RU,1706010275
263,johnstown,40.3267,-78.922,5.19,56,0,3.09,US,1706010205
264,saint-francois,46.4154,3.9054,10.92,73,75,4.12,FR,1706010276
265,qarauyl,48.9451,79.255,-12.21,73,0,2.47,KZ,1706010277
266,mount gambier,-37.8333,140.7667,19.11,55,0,2.41,AU,1706010277
267,mazowe,-17.504,30.9739,26.53,41,79,2.86,ZW,1706010278
268,cakovec,46.3844,16.4339,6.41,66,38,1.01,HR,1706010279
269,naze,28.3667,129.4833,8.51,70,100,14.57,JP,1706010279
270,labrador city,52.9463,-66.9114,-27.05,58,40,9.26,CA,1706010280
271,gdov,58.7406,27.8122,2.0,92,100,7.63,RU,1706010280
272,kralendijk,12.15,-68.2667,23.99,100,100,4.12,BQ,1706010281
273,baruun-urt,46.6806,113.2792,-19.67,89,3,3.11,MN,1706010282
274,axim,4.8699,-2.2405,29.62,66,19,2.18,GH,1706010282
275,south hedland,-20.4089,118.5983,27.96,89,100,6.17,AU,1706010283
276,phan rang-thap cham,11.5667,108.9833,23.32,79,4,2.12,VN,1706010283
277,arauquita,7.0292,-71.4281,23.69,61,99,0.83,CO,1706010284
278,bubaque,11.2833,-15.8333,25.53,47,90,6.69,GW,1706010284
279,puerto francisco de orellana,-0.4667,-76.9667,22.17,88,22,0.74,EC,1706010285
280,mahabad,36.7631,45.7222,9.23,65,79,1.98,IR,1706010286
281,undurkhaan,47.3194,110.6556,-18.63,83,1,2.21,MN,1706010286
282,tromso,69.6496,18.957,0.01,93,100,6.69,NO,1706010287
283,belmopan,17.25,-88.7667,20.86,100,75,1.19,BZ,1706010287
284,yuzhno-kurilsk,44.0306,145.8556,1.32,97,86,7.02,RU,1706010288
285,la libertad,-2.2333,-80.9,25.81,89,40,4.63,EC,1706010288
286,polyarnyy,69.1989,33.4478,-6.91,96,97,2.59,RU,1706010289
287,balkanabat,39.5108,54.3671,6.26,74,98,1.29,TM,1706010290
288,qui nhon,13.7667,109.2333,22.05,89,67,6.74,VN,1706010290
289,mount pleasant,32.7941,-79.8626,12.78,93,100,1.54,US,1706010291
290,puerto princesa,9.7392,118.7353,26.99,83,75,6.17,PH,1706010291
291,port lincoln,-34.7333,135.8667,21.25,65,21,3.06,AU,1706010292
292,san patricio,28.017,-97.5169,19.35,99,100,4.94,US,1706010293
293,waingapu,-9.6567,120.2641,28.75,74,83,8.02,ID,1706010293
294,enid,36.3956,-97.8784,1.37,100,75,1.54,US,1706010294
295,el paraiso,13.8667,-86.55,17.15,96,87,2.0,HN,1706010294
296,remire-montjoly,4.9167,-52.2667,29.02,70,20,5.14,GF,1706010295
297,caxias do sul,-29.1681,-51.1794,18.95,87,62,2.45,BR,1706010286
298,northam,51.0333,-4.2167,14.25,97,100,16.3,GB,1706010296
